year notice was documented,notice_date,company,business_type,dislocation,classification
2020,3/30/2020,"CHF Industries, Inc.","Bedding, Bath, and window Manufacturing",COVID-19,Temporary Plant Layoff
2020,3/26/2020,JSalt LLC/Speedy Romeo,Restaurant,COVID-19,Temporary Plant Closing
2020,3/26/2020,Speedy Romeo LLC,Restaurant,COVID-19,Temporary Plant Layoff
2020,3/26/2020,Texas Roadhouse,Restaurant,COVID-19,Temporary Plant Closing
2020,4/1/2020,Ruth's Chris Steak House,Restaurant,COVID-19,Temporary Plant Layoff
2020,4/6/2020,"The Martin-Brower Company, LLC",Supply Chain Management,COVID-19,Temporary Plant Layoff
2020,3/30/2020,"Havana Central NY4, LLC",Restaurant,COVID-19,Temporary Plant Closing
2020,3/30/2020,"Havana Central NY2, LLC and The Merrin Group",Restaurant,COVID-19,Temporary Plant Closing
2020,3/30/2020,"Havana Central NY5, LLC",Restaurant,COVID-19,Temporary Plant Closing
2020,3/31/2020,"Comfort Systems USA, Inc.",Mechanical Systems Building,COVID-19,Temporary Plant Layoff
2020,4/2/2020,Southern Tier Insulations,Insulation Contractor,COVID-19,Temporary Plant Layoff
2020,3/26/2020,"Fancher Chair Company, Inc.",Furniture,COVID-19,Temporary Plant Layoff
2020,4/2/2020,Gerber Collision and Glass,Collision Repair,COVID-19,Temporary Plant Layoff
2020,3/26/2020,"Cinemark USA, Inc.",Movie Theatre,COVID-19,Temporary Plant Layoff
2020,4/1/2020,Robert and Dorothy Ludwig Schenectady Jewish Community Center,Community Center,Economic,Temporary Plant Layoff
2020,4/2/2020,"Jointa Galusha, LLC (3 sites)",Stone Quarry,COVID-19,Temporary Plant Layoff
2020,3/26/2020,Century Linen,Linen and Uniforms,COVID-19,Temporary Plant Layoff
2020,3/25/2020,"Zin Management Services, LLC",Restaurant,COVID-19,Plant Closing
2020,3/26/2020,"Zin Management Services, LLC",Restaurant,COVID-19,Plant Closing
2020,3/26/2020,GCwNY Rochester Inc. dba Golden Corral,Restaurant,COVID-19,Temporary Plant Closing
2020,3/30/2020,"Empire Architectural Metal, Corp.",Architectural Metal and Glass Manufacturing,COVID-19,Temporary Plant Layoff
2020,3/31/2020,"Venia Contracting, LLC",Contracting,COVID-19,Temporary Plant Layoff
2020,3/31/2020,"Eastern Heating & Cooling, Inc.",Heating and Cooling,COVID-19,Temporary Plant Layoff
2020,3/30/2020,"Pleatco, LLC",Water Manufacturer,Restructuring,Plant Layoff
2020,3/30/2020,"Con Tech Building Systems, Inc.",Contracting Company,COVID-19,Temporary Plant Layoff
2020,4/1/2020,"NS Auto  s Inc., dba North Shore Honda",Auto Dealership,COVID-19,Temporary Plant Layoff
2020,4/3/2020,"Crescent Duck Farm, Inc.",Duck Farm,COVID-19,Temporary Plant Layoff
2020,3/23/2020,"Intercos America, Inc.",Cosmetic Manufacturing,COVID-19,Temporary Plant Closing
2020,3/23/2020,"Intercos America, Inc.",Cosmetic Manufacturer,COVID-19,Temporary Plant Closing
2020,4/1/2020,Capacity Interactive Consulting LLC,Digital Marketing,COVID-19,Temporary Plant Layoff
2020,4/1/2020,EVEN Hotel Brooklyn,Hotel,COVID-19,Temporary Plant Layoff
2020,4/3/2020,"Rag & Bone Industries, LLC and Rag Traders Retail, LLC (multiple sites)",Retail,COVID-19,Temporary Plant Closing
2020,3/30/2020,"Maggy London International, Ltd.",Retail,COVID-19,Temporary Plant Layoff
2020,3/24/2020,Hooters on 33rd Street,Restaurant,COVID-19,Temporary Plant Closing
2020,3/30/2020,Studio Instrument Rentals Inc.,Musical Instrument Rental,COVID-19,Temporary Plant Layoff
2020,3/26/2020,"West Houston Hall, Inc.",Restaurant,COVID-19,Temporary Plant Closing
2020,3/16/2020,Great Jones Restaurant Corp. dba Vic's,Restaurant,COVID-19,Temporary Plant Closing
2020,3/30/2020,444 PAS Restaurant Associates LLC,Restaurant,COVID-19,Temporary Plant Closing
2020,3/31/2020,"Guapo Bodega LLC, dba Beauty & Essex NY",Restaurant,COVID-19,Temporary Plant Closing
2020,3/26/2020,Bliss57 and OneSpaWorld,Day Spa,COVID-19,Temporary Plant Closing
2020,3/31/2020,Davidoff Hutcher & Citron LLP,Attorney,COVID-19,Temporary Plant Closing
2020,3/27/2020,RF Broadway LLC dba RedFarm,Restaurant,COVID-19,Temporary Plant Layoff
2020,4/2/2020,Hudson's Bay Company,Retail,COVID-19,Temporary Plant Layoff
2020,4/2/2020,Cool Wind Ventilation Corp.,Sheet Metal Contractor,COVID-19,Temporary Plant Layoff
2020,4/2/2020,Haru Wall Street Corp. dba Haru Wall Street,Restaurant,COVID-19,Temporary Plant Layoff
2020,4/2/2020,Haru Amsterdam Avenue Corp. dba Haru Amsterdam,Restaurant,COVID-19,Temporary Plant Layoff
2020,4/2/2020,Haru Hell's Kitchen Corp. dba Haru Hell's Kitchen,Restaurant,COVID-19,Temporary Plant Layoff
2020,4/2/2020,Haru Broadway-Times Square Corp. dba Haru Times Square,Restaurant,COVID-19,Temporary Plant Layoff
2020,3/26/2020,Hotel Plaza Athénée,Hotel,COVID-19,Temporary Plant Layoff
2020,3/21/2020,"Carroll Group NYC LLC, dba Fette Sau",Restaurant,COVID-19,Temporary Plant Layoff
2020,3/21/2020,"Carroll Group NYC LLC, dba Spuyten Duyvil",Restaurant,COVID-19,Temporary Plant Closing
2020,3/21/2020,"Carroll Group NYC LLC, dba Saint Anselm",Restaurant,COVID-19,Temporary Plant Layoff
2020,3/25/2020,"Trump Ferry Point, LLC dba Trump Golf Links at Ferry Point",Golf Course,COVID-19,Temporary Plant Layoff
2020,3/31/2020,"Bowery Hospitality Services LLC, dba Vandal",Restaurant,COVID-19,Temporary Plant Closing
2020,3/31/2020,OTG Management LLC,Restaurant,COVID-19,Temporary Plant Layoff
2020,4/1/2020,Ninth Avenue Hospitality LLC dba Bodega Negra Electric Room and PHD,Restaurant,COVID-19,Temporary Plant Closing
2020,3/29/2020,"McVeigh Global Meeting and Events, LLC",Event Planning,COVID-19,Temporary Plant Layoff
2020,4/2/2020,AMETEK Hughes-Treitler,Electronic Instrument Manufacturer,COVID-19,Temporary Plant Layoff
2020,4/2/2020,Benihana Westbury Corp.,Restaurant,COVID-19,Temporary Plant Layoff
2020,4/3/2020,"Eastport Feeds, Inc.",Animal Feed Store,COVID-19,Temporary Plant Layoff
2020,3/31/2020,"Ben's Restaurant Group, Inc.",Restaurant,COVID-19,Temporary Plant Layoff
2020,4/3/2020,Smith Haven Auto Group,Auto  s,COVID-19,Temporary Plant Layoff
2020,3/31/2020,"Neurological Specialties of Long Island, PLLC and Addan Equipment LLC",Neurology Health Care Provider,COVID-19,Temporary Plant Layoff
2020,3/31/2020,Millennium Hotel Buffalo,Hotel,COVID-19,Temporary Plant Layoff
2020,4/2/2020,"Sear 200 LLC, dba Sear Steakhouse",Restaurant,COVID-19,Temporary Plant Closing
2020,3/27/2020,Scott's Buffalo Suites LLC (Hawthorn Suites),Hotel,COVID-19,Temporary Plant Closing
2020,3/24/2020,"Capital Management Services, LP",Collection Agency,COVID-19,Temporary Plant Layoff
2020,3/26/2020,The Saratoga Hilton,Hotel,COVID-19,Temporary Plant Closing
2020,3/17/2020,Van Jan Cabaret dba The Olde Bryan Inn,Hotel,COVID-19,Temporary Plant Layoff
2020,3/17/2020,Exceeding Expectations dba Longfellow's Hotel and Restaurant,Hotel,COVID-19,Temporary Plant Layoff
2020,4/2/2020,Boys and Girls Clubs of the Capital Area Inc.,Youth Club,COVID-19,Temporary Plant Layoff
2020,4/2/2020,New York Friendly's Restaurant - Johnson City,Restaurant,COVID-19,Temporary Plant Closing
2020,4/2/2020,New York Friendly's Restaurant - Liverpool,Restaurant,COVID-19,Temporary Plant Closing
2020,4/2/2020,New York Friendly's Restaurant - New Hartford,Restaurant,COVID-19,Temporary Plant Closing
2020,4/2/2020,New York Friendly's Restaurant -  Olean,Restaurant,COVID-19,Temporary Plant Closing
2020,4/3/2020,New York Friendly's Restaurant - Troy,Restaurant,COVID-19,Temporary Plant Closing
2020,4/3/2020,New York Friendly's Restaurant - Queensbury,Restaurant,COVID-19,Temporary Plant Closing
2020,4/3/2020,New York Friendly's Restaurant - Clifton Park,Restaurant,COVID-19,Temporary Plant Closing
2020,4/2/2020,New York Friendly's Restaurant - Johnstown,Restaurant,COVID-19,Temporary Plant Closing
2020,3/25/2020,"DeIorio Foods, Inc.",Whole  Bakery,COVID-19,Temporary Plant Layoff
2020,3/26/2020,"P.S. Pibbs, Inc.",Beauty Salon Equipment,COVID-19,Temporary Plant Layoff
2020,3/25/2020,"Punch the Pickle, LLC dba Lucky Pickle Dumpling Co.",Restaurant,COVID-19,Temporary Plant Closing
2020,3/16/2020,"Shinko Foods, Inc., dba Shabu-Tatsu Restaurant",Restaurant,COVID-19,Temporary Plant Closing
2020,3/27/2020,"Union Sq 4th F&B Management LLC, dba BOWERY ROAD and LIBRARY OF DISTILLED SPIRITS",Restaurant,COVID-19,Temporary Plant Closing
2020,3/25/2020,Mercedes-Benz of Rockville Center,Auto Dealer,COVID-19,Temporary Plant Layoff
2020,4/1/2020,"11th Street Hospitality LLC, dba Cathedrale, Alphabet Bar and Little Sister",Restaurant,COVID-19,Temporary Plant Closing
2020,3/31/2020,"Union Square Café II, LLC dba Union Square Café",Restaurant,COVID-19,Temporary Plant Closing
2020,3/31/2020,"Baked Ziti, LLC",Restaurant,COVID-19,Temporary Plant Layoff
2020,3/31/2020,"United Chicken Fingers, LLC",Restaurant,COVID-19,Temporary Plant Layoff
2020,3/31/2020,"New York RGI Sub, LLC (East 50th Street)",Restaurant,COVID-19,Temporary Plant Layoff
2020,3/31/2020,"The Manhattan Ocean Club Associates, LLC",Restaurant,COVID-19,Temporary Plant Layoff
2020,3/31/2020,"St. James Associates, L.P.",Restaurant,COVID-19,Temporary Plant Layoff
2020,3/24/2020,"Perry Street Project LLC, dba Perry St.",Restaurant,COVID-19,Temporary Plant Closing
2020,3/30/2020,New York Cinema Investments LLC dba Cinepolis,Movie Theatre,COVID-19,Temporary Plant Layoff
2020,3/31/2020,"Blue Smoke, LLC dba Blue Smoke",Restaurant,COVID-19,Temporary Plant Closing
2020,3/31/2020,Whit Food II LLC,Restaurant,COVID-19,Temporary Plant Closing
2020,4/1/2020,Pryor Cashman LLP,Law Firm,COVID-19,Temporary Plant Layoff
2020,4/1/2020,Chelsea Hospitality Associates LLC dba Feroce Bar Feroce and Fleur Room “Moxy Chelsea F&B”,Restaurant,COVID-19,Temporary Plant Closing
2020,4/1/2020,Seventh Hospitality LLC dba Legasea Magic Hour and Bar Moxy “Moxy TS F&B”,Restaurant,COVID-19,Temporary Plant Closing
2020,3/27/2020,Fred Smith Plumbing & Heating,Plumbing and Heating,COVID-19,Temporary Plant Layoff
2020,3/31/2020,"Peter Luger, Inc.",Restaurant,COVID-19,Temporary Plant Layoff
2020,3/30/2020,The Manhattan Club Timeshare Association Inc.,Hotel,COVID-19,Temporary Plant Layoff
2020,4/2/2020,HLD 46th LLC dba Sushi of Gari 46,Restaurant,COVID-19,Temporary Plant Closing
2020,4/1/2020,"Eataly NY FIDI, LLC",Restaurant,COVID-19,Temporary Plant Closing
2020,4/1/2020,"Eataly NY, LLC",Restaurant,COVID-19,Temporary Plant Closing
2020,3/23/2020,Feinstein's/54 Below,Restaurant,COVID-19,Temporary Plant Closing
2020,4/3/2020,Asplundh Tree Expert LLC,Tree service,COVID-19,Temporary Plant Layoff
2020,4/1/2020,Ruth's Chris Steak House,Restaurant,COVID-19,Temporary Plant Layoff
2020,3/26/2020,"Karp Automotive, Inc.",Auto  s,COVID-19,Temporary Plant Layoff
2020,3/24/2020,"130 West 3rd Café, Inc. dba The Fat Black Pussycat",Restaurant,COVID-19,Temporary Plant Closing
2020,3/30/2020,"Standard High Line Employer, LLC “Hotel F&B”",Hotel,COVID-19,Temporary Plant Closing
2020,3/31/2020,Araca Merchandise L.P.,Production Company,COVID-19,Temporary Plant Layoff
2020,4/1/2020,"DGA Security Systems, Inc.",Security System Installation,COVID-19,Plant Layoff
2020,3/30/2020,Spire Hospitality,Hotel,COVID-19,Temporary Plant Layoff
2020,3/31/2020,The Century Association (the Club),Social Club,COVID-19,Temporary Plant Closing
2020,4/1/2020,Ruth's Chris Steak House,Restaurant,COVID-19,Temporary Plant Layoff
2020,3/13/2020,El Al Israeli Airlines Ltd.,Airline,COVID-19,Temporary Plant Layoff
2020,3/24/2020,Transform – Manhattan Showroom,Closets and Storage,COVID-19,Temporary Plant Closing
2020,3/24/2020,Transform,Closets and Storage,COVID-19,Temporary Plant Closing
2020,3/30/2020,"Greyhound Lines, Inc.",Transportation,COVID-19,Plant Layoff
2020,3/27/2020,"Priority 1 Security, LLC","Watch, Guard, Patrol Agency",Loss of Contract,Plant Closing
2020,3/25/2020,"Cortland Apple, LLC",Restaurant,COVID-19,Temporary Plant Closing
2020,3/25/2020,"Hawthorne Apple, LLC",Restaurant,COVID-19,Temporary Plant Closing
2020,1/31/2020,"Crosstex International, Inc. (Cantel) Phase 4",Dental equipment distribution and manufacturing,Restructuring,Plant Layoff
2020,3/25/2020,"Crest Hollow Country Club dba Crest Hollow Club at Woodbury, Inc.",Country Club,COVID-19,Temporary Plant Layoff
2020,3/25/2020,"Crossroads Apple, LLC",Restaurant,COVID-19,Temporary Plant Closing
2020,3/25/2020,"New Rochelle Apple, LLC",Restaurant,COVID-19,Temporary Plant Closing
2020,3/23/2020,"Eye Care and Vision Associates Ophthalmology, LLP (ECVA) (3 Sites)",Optometry Offices,COVID-19,Temporary Plant Closing
2020,3/26/2020,"Apple-Metro, Inc.",Restaurant,COVID-19,Temporary Plant Closing
2020,3/19/2020,Blue Hill at Stone Barns LLC dba Blue Hill at Stone Barns,Restaurant,COVID-19,Temporary Plant Layoff
2020,3/25/2020,"EB Apple, LLC",Restaurant,COVID-19,Temporary Plant Closing
2020,3/25/2020,"Cross County Apple, LLC",Restaurant,COVID-19,Temporary Plant Closing
2020,4/2/2020,Pallette Stone Corporation,Stone Quarry,COVID-19,Temporary Plant Layoff
2020,3/28/2020,Rivka Inc.,Restaurant,COVID-19,Temporary Plant Closing
2020,3/28/2020,Café Mogador LLC,Restaurant,COVID-19,Temporary Plant Closing
2020,3/16/2020,Future Media Group,Global tech media company,COVID-19,Possible Plant Layoff/Closing
2020,3/20/2020,"Rumble Fitness, LLC",Gym,COVID-19,Temporary Plant Layoff
2020,4/1/2020,"Crosstex International, Inc. (Cantel) Phase 5",Dental equipment distribution and manufacturing,Restructuring,Plant Layoff
2020,3/19/2020,Washington Place dba Blue Hill,Restaurant,COVID-19,Temporary Layoff
2020,4/1/2020,Elie Tahari Ltd.,Retail,COVID-19,Temporary Plant Layoff
2020,4/3/2020,New York City & Vicinity District Council of Carpenters,Carpentry Organization,COVID-19,Temporary Plant Closing
2020,4/2/2020,"Caleres, Inc. New York Corporate Headquarters",Footwear,COVID-19,Temporary Plant Layoff
2020,4/2/2020,Icon Parking Holdings LLC  (227 Locations in NYC),Parking Service/Locations,COVID-19,Temporary Plant Layoff
2020,3/23/2020,"Elite Services Group, LLC",Commercial Cleaning,COVID-19,Temporary Plant Layoff
2020,3/30/2020,In Good Co Park Ave Inc.,Restaurant,COVID-19,Temporary Plant Closing
2020,3/30/2020,38 W. 36th Street LLC,Restaurant,COVID-19,Temporary Plant Closing
2020,3/30/2020,Refinery Lobby Bar LLC,Restaurant,COVID-19,Temporary Plant Closing
2020,3/30/2020,PRYM 1216 Street Level LLC,Restaurant,COVID-19,Temporary Plant Closing
2020,3/31/2020,Hudson Yards Sports and Entertainment LLC,Restaurant,COVID-19,Temporary Plant Closing
2020,3/31/2020,"Porchlight West Chelsea, LLC dba Porchlight",Restaurant,COVID-19,Temporary Plant Closing
2020,3/27/2020,Patroon Operating Co. LLC dba Aretsky's Patroon,Restaurant,COVID-19,Temporary Plant Layoff
2020,3/31/2020,"331 PAS F&B Management, LLC dba LoBall",Restaurant,COVID-19,Temporary Plant Closing
2020,3/31/2020,GT Operating Company LLC dba Gramercy Tavern,Restaurant,COVID-19,Temporary Plant Closing
2020,3/27/2020,China Grill Management 12 E 22 LLC dba Almond,Restaurant,COVID-19,Temporary Plant Layoff
2020,3/27/2020,"LeNoble Lumber Co., Inc.",Lumber and Building Material Distribution,COVID-19,Temporary Plant Closing
2020,3/31/2020,"Howard Zimmerman Architects, P.C.",Architecture Firm,COVID-19,Temporary Plant Layoff
2020,3/30/2020,Rooftop 63 LLC,Restaurant,COVID-19,Temporary Plant Closing
2020,3/31/2020,"Uncle Biagio, LLC dba Don Angie",Restaurant,COVID-19,Temporary Plant Layoff
2020,3/31/2020,Blue Smoke 102 North End Ave LLC dba Blue Smoke,Restaurant,COVID-19,Temporary Plant Closing
2020,4/1/2020,"55th Street Hospitality Holdings, LLC dba The Ricky Fishbowl and PHD Terrace",Restaurant,COVID-19,Temporary Plant Closing
2020,3/31/2020,"UOVO Art, LLC",Art Storage and Services,COVID-19,Temporary Plant Layoff
2020,3/30/2020,"Standard High Line Employer, LLC",Hotel,COVID-19,Temporary Plant Closing
2020,3/27/2020,Omni Berkshire Corporation dba Omni Berkshire Place Hotel,Hotel,COVID-19,Temporary Plant Closing
2020,3/17/2020,"Sushi by Bou Global, LLC (multiple sites)",Restaurant,COVID-19,Temporary Plant Closing
2020,4/1/2020,Welsbach Electric Corp.,Electricians,COVID-19,Temporary Plant Layoff
2020,3/23/2020,"Jean Georges of Pound Ridge LLC, dba The Inn at Pound Ridge",Restaurant,COVID-19,Temporary Plant Closing
2020,3/27/2020,Legendary Auto Interiors,Custom auto interior parts for classic car restoration,COVID-19,Temporary Plant Layoff
2020,3/26/2020,"Team Member Services LLC, dba Autobahn Indoor Speedway",Go-kart track,COVID-19,Temporary Plant Layoff
2020,3/18/2020,Allen Boulevard Corp.,Industrial Machinery & Equipment,COVID-19,Temporary Plant Closing
2020,3/26/2020,"Levene Gouldin & Thompson, LLP",Attorney's Office,COVID-19,Temporary Plant Layoff
2020,3/27/2020,"Positive Promotions, Inc.",Promotional Product Supplier,COVID-19,Temporary Plant Closing
2020,3/26/2020,Akwesasne Mohawk Casino Resort,Casino Hotel,COVID-19,Temporary Plant Layoff
2020,3/26/2020,Inn at Fox Hollow,Hotel,COVID-19,Temporary Plant Layoff
2020,3/26/2020,Scotto Brothers Corporate Office,Restaurant,COVID-19,Temporary Plant Layoff
2020,3/27/2020,"Coast Professional, Inc.",Collection Agency,COVID-19,Temporary Plant Layoff
2020,3/25/2020,"Waxing Centers of Buffalo, LLC",Waxing Services,COVID-19,Temporary Plant Closing
2020,3/20/2020,"Fireman Hospitality Group Café Concepts, Inc. dba Café Concepts",Restaurant,COVID-19,Temporary Plant Layoff
2020,3/31/2020,USE LX LLC dba Lexus Intersect,Catering,COVID-19,Temporary Plant Closing
2020,4/2/2020,HLD Tribeca LLC dba Sushi of Gari Tribeca,Restaurant,COVID-19,Temporary Plant Closing
2020,3/20/2020,Varflex Corporation,Electrical Supply Store,COVID-19,Temporary Plant Closing
2020,3/23/2020,"Elizabeth Wende Breast Care, LLC",Health Care Provider - Mammography,COVID-19,Temporary Plant Layoff
2020,3/26/2020,The Ritz-Carlton New York Central Park,Hotel,COVID-19,Temporary Plant Layoff
2020,3/27/2020,American Management Association International (NYC),Consulting Group,COVID-19,Temporary Plant Layoff
2020,3/27/2020,American Management Association International (Saranac Lake),Consulting Group,COVID-19,Temporary Plant Layoff
2020,3/27/2020,P.F. Chang's China Bistro (Westbury - Store #4800),Restaurant,COVID-19,Plant Closing
2020,3/30/2020,"Harbor Day Care Center, Inc. dba Harbor Child Care",Education and Child Care,COVID-19,Temporary Plant Layoff
2020,3/30/2020,"Two's Company, Inc.",Retail,COVID-19,Temporary Plant Layoff
2020,4/2/2020,"HLD Columbus LLC, dba Gari Columbus",Restaurant,COVID-19,Temporary Plant Closing
2020,4/2/2020,"HLD Gari LLC, dba Sushi of Gari Upper East Side",Restaurant,COVID-19,Temporary Plant Closing
2020,3/26/2020,"Mark Former, M.D., P.C. and Mark Fromer LLC",Ophthalmologist,COVID-19,Temporary Plant Layoff
2020,3/18/2020,Evelyn Hotel LLC,Hotel,COVID-19,Temporary Plant Closing
2020,3/18/2020,Iroquois Hotel LLC,Hotel,COVID-19,Temporary Plant Closing
2020,3/18/2020,"Washington Jefferson Hotel, LLC",Hotel,COVID-19,Temporary Plant Closing
2020,3/18/2020,Belleclaire Hotel LLC,Hotel,COVID-19,Temporary Plant Closing
2020,3/18/2020,"Edison Hotel, LLC",Hotel,COVID-19,Temporary Plant Closing
2020,3/18/2020,Frederick Hotel,Hotel,COVID-19,Temporary Plant Closing
2020,3/18/2020,Harvard Club of New York,Hotel,COVID-19,Temporary Plant Closing
2020,3/17/2020,Silver Autumn Hotel Corporation LTD dba Warwick New York Hotel,Hotel,COVID-19,Temporary Plant Closing
2020,3/25/2020,"Greyhound Lines, Inc.",Transportation Company,COVID-19,Plant Layoff
2020,3/27/2020,ABCO Refrigeration Supply Corp.,Refrigeration Whole r,COVID-19,Temporary Plant Layoff
2020,3/30/2020,Fairfield Inn - NY Downtown Manhattan World Trade Center Area,Hotel,COVID-19,Temporary Plant Closing
2020,3/26/2020,"Oki Ringo dba Covina, o ya, & Roof @ Park South",Restaurant,COVID-19,Temporary Plant Closing
2020,3/20/2020,Boqueria Operations LLC and Jaleo Management LLC (multiple sites),Restaurant,COVID-19,Temporary Plant Closing
2020,3/25/2020,InterContinental New York Times Square,Hotel,COVID-19,Temporary Plant Layoff
2020,3/27/2020,"Sweet Chick LES, LLC dba Sweet Chick",Restaurant,COVID-19,Temporary Plant Closing
2020,3/30/2020,"Paragon Sports, LLC",Sporting Goods,COVID-19,Temporary Plant Layoff
2020,3/24/2020,Milos Inc. dba Estiatorio Milos,Restaurant,COVID-19,Temporary Plant Closing
2020,3/26/2020,"228 West 10th Street, LLC dba L'Artusi",Restaurant,COVID-19,Temporary Plant Closing
2020,3/26/2020,34 8th Avenue LLC dba Anfora,Restaurant,COVID-19,Temporary Plant Closing
2020,3/26/2020,Greener Pastures Management Corp. dba Irving Farm Coffee Roasters,Restaurant,COVID-19,Temporary Plant Closing
2020,3/20/2020,Fireman Hospitality Group Café Concepts dba Café Concepts (multiple locations),Restaurant,COVID-19,Temporary Plant Layoff
2020,3/31/2020,Capitol Fire Sprinkler Co. Inc.,Fire Sprinkler Installation,COVID-19,Temporary Plant Layoff
2020,3/19/2020,"Quixote Studios, LLC",Studio Equipment,COVID-19,Temporary Plant Layoff
2020,3/27/2020,S.P.E.A.R. Physical and Occupational Therapy PLLC (19 NYC Locations),Physcial and Occupational Therapy,COVID-19,Temporary Plant Layoff
2020,3/27/2020,S.P.E.A.R. Physical and Occupational Therapy PLLC,Physical and Occupational Therapy,COVID-19,Temporary Plant Layoff
2020,3/25/2020,Hanky Panky Ltd.,Undergarments,COVID-19,Temporary Plant Layoff
2020,3/23/2020,Hornell Furniture Outlet,Furniture,COVID-19,Temporary Plant Closing
2020,3/23/2020,"T&L Automatics, Inc.",Machine Shop,COVID-19,Temporary Plant Layoff
2020,3/26/2020,"Alsco, Inc.",Linen and Uniform Supply,COVID-19,Temporary Plant Layoff
2020,3/30/2020,44 Restaurant LLC dba The Lambs Club,Restaurant,COVID-19,Plant Layoff
2020,3/16/2020,Burger & Lobster Bryant Park LLC,Restaurant,COVID-19,Temporary Plant Closing
2020,3/31/2020,Food 2 Lex LLC,Catering,COVID-19,Temporary Plant Closing
2020,3/31/2020,"28 Liberty F&B Management, LLC",Catering,COVID-19,Temporary Plant Closing
2020,3/31/2020,"Art Food, LLC",Catering,COVID-19,Temporary Plant Closing
2020,3/31/2020,29th Street NY Food and Beverage Operating Company LLC,Catering,COVID-19,Temporary Plant Closing
2020,3/31/2020,"Union Square Hospitality Group (USHG), LLC",Catering,COVID-19,Temporary Plant Closing
2020,3/31/2020,Hudson Yards Catering LLC,Catering,COVID-19,Temporary Closing
2020,3/18/2020,Hudson Hotel,Hotel,COVID-19,Temporary Plant Layoff
2020,3/31/2020,"Martinique New York on Broadway, Curio Collection by Hilton Hotel",Hotel,COVID-19,Temporary Plant Closing
2020,3/27/2020,Momofuku (multiple locations),Restaurant,COVID-19,Temporary Plant Closing
2020,3/30/2020,The Garden City Hotel,Hotel,COVID-19,Temporary Plant Layoff
2020,3/30/2020,Glenn Wayne Bakery,Bakery,COVID-19,Temporary Plant Layoff
2020,3/30/2020,Yeshivah of Flatbush  (2 locations),School,COVID-19,Temporary Plant  Closing
2020,3/27/2020,Rony Elka Vardi Inc. dba Catbird,Retail & Light Manufacturing,COVID-19,Temporary Plant Closing
2020,3/27/2020,v,Social services organization,COVID-19,Temporary Plant Layoff
2020,3/31/2020,Primark US Corp.,Clothing Store,COVID-19,Temporary Plant Closing
2020,3/23/2020,We Sell Cellular LLC,Cellular  s,COVID-19,Temporary Plant Closing
2020,1/15/2020,Blakely LLC dba the Blakely Hotel,Hotel,Economic,Plant Closing
2020,1/30/2020,Long Island Custom Windows LLC dba Renewal by Anderson of Long Island (Call Center),Call Center,Economic,Plant Closing
2020,3/25/2020,"Louis Christopher Management, LLC (multiple sites)",Restaurant,COVID-19,Temporary Plant Closing
2020,3/19/2020,"The Bowery Hotel, LLC",Hotel,COVID-19,Temporary Plant Layoff
2020,3/19/2020,Lotte New York Palace Hotel,Hotel,COVID-19,Temporary Plant Layoff
2020,3/16/2020,"Tokyo Mama, Inc. dba SAKE BAR DECIBEL",Restaurant,COVID-19,Temporary Plant Closing
2020,3/26/2020,Chumley's 86 LLC,Restaurant,COVID-19,Temporary Plant Closing
2020,3/25/2020,Brits on Madison LLC,Restaurant,COVID-19,Plant Layoff
2020,3/19/2020,"Bowery F&B, LLC",Restaurant,COVID-19,Temporary Plant Layoff
2020,3/25/2020,"SRHG West, LLC",Restaurant,COVID-19,Plant Layoff
2020,3/25/2020,The Roosevelt Hotel NYC,Hotel,COVID-19,Temporary Plant Layoff
2020,3/27/2020,Loews Regency New York Hotel,Hotel,COVID-19,Temporary Plant Closing
2020,3/27/2020,Hudson Rooftop LLC,Restaurant,COVID-19,Temporary Plant Layoff
2020,3/27/2020,Bagatelle Little West 12th LLC,Restaurant,COVID-19,Temporary Plant Closing
2020,3/27/2020,Bagatelle Downtown LLC,Restaurant,COVID-19,Temporary Plant Closing
2020,4/1/2020,"Camp NYC, Inc.",Toy Store,COVID-19,Temporary Plant Closing
2020,3/23/2020,Triomphe Restaurant Corp. dba Jean-Georges Restaurant,Restaurant,COVID-19,Temporary Plant Closing
2020,3/23/2020,"Lucy Kitchen LLC, dba abc v",Restaurant,COVID-19,Temporary Plant Closing
2020,3/27/2020,Levain Bakery and Engage PEO,Restaurant,COVID-19,Temporary Plant Layoff
2020,3/23/2020,"Mercer Kitchen LLC, dba Mercer Kitchen",Restaurant,COVID-19,Plant Temporary Closing
2020,3/24/2020,"Origine LLC, dba JoJo",Restaurant,COVID-19,Temporary Plant Closing
2020,3/26/2020,Hotel 57 Services LLC dba Four Seasons Hotel New York,Hotel,COVID-19,Temporary Plant Layoff
2020,1/13/2020,"Opening Ceremony, LLC",an American clothing brand and retailer,Acquisition/Sale,Plant Closing
2020,2/7/2020,"Morimoto NY Venture, L.P.",Modern Japanese restaurant,End of Lease,Plant Closing
2020,3/20/2020,"The Sake Club, Inc. dba Kiosku",Restaurant,COVID-19,Temporary Plant Closing
2020,3/20/2020,"Hasaki Restaurant, Inc.",Restaurant,COVID-19,Temporary Plant Closing
2020,3/20/2020,"Shinko Foods, Inc. dba Curry-Ya",Restaurant,COVID-19,Temporary Plant Closing
2020,3/20/2020,"Sobaya Restaurant, Inc. dba Rai Rai Ken",Restaurant,COVID-19,Temporary Plant Closing
